model,year,milage,engine,transmission,drive,steer,price
1994 Honda Acty Truck HA4 0.35Tonne,1994,"92,000km",660 cc,MT,4WD,Right,US$609
1990 Honda Acty Truck HA4 0.35Tonne,1990,"99,000km",660 cc,MT,4WD,Right,US$643
1994 Honda Acty Truck HA4 AWD 4WD 0.35Tonne,1994,"102,000km",660 cc,MT,4WD,Right,US$680
1993 Honda Acty Truck HA4 0.35Tonne,1993,"66,000km",660 cc,MT,4WD,Right,US$686
2007 Mitsubishi Canter FE84DV CHILLING REFRIGERATOR P/G 2.8Tonne,2007,"496,000km","4,900 cc",MT,2WD,Right,"US$2,064"
2001 Mitsubishi Fuso Fighter FK71HMY 6.2Tonne,2001,"788,000km","8,200 cc",MT,2WD,Right,"US$2,323"
2011 Suzuki Carry Truck EBD-DA63T,2011,"159,096km",660 cc,MT,2WD,Right,"US$2,676"
2003 Mitsubishi Fuso Super Great FT50JVX 9.9Tonne,2003,"510,000km","12,900 cc",MT,2WD,Right,"US$2,778"
1999 Mitsubishi Canter FB308B Gila 1.5Tonne,1999,"260,000km","2,830 cc",MT,2WD,Right,"US$2,794"
2000 Mitsubishi Canter FE52CE 2Tonne,2000,"289,000km","4,200 cc",AT,2WD,Right,"US$2,810"
2004 Mitsubishi Canter FE72CE 2Tonne,2004,"240,170km","4,200 cc",MT,2WD,Right,"US$2,944"
2005 Suzuki Carry Truck LE-DA63T,2005,"54,697km",660 cc,MT,2WD,Right,"US$3,095"
2000 Mitsubishi Canter FE51CB 2Tonne,2000,"597,000km","4,210 cc",MT,2WD,Right,"US$3,202"
2003 Mitsubishi Fuso Super Great FT50JVX Aluminum Van 9.7Tonne,2003,"1,200,642km","12,880 cc",MT,2WD,Right,"US$3,253"
1992 Mazda Titan WGL4T 2Tonne,1992,"154,452km","3,500 cc",MT,2WD,Right,"US$3,376"
2003 Mitsubishi Super Great FT50JVX 9.2Tonne,2003,"999,000km","12,880 cc",MT,2WD,Right,"US$3,483"
2011 Hino DUTRO XZU414M CHILLING REFRIGERATOR 3Tonne,2011,"499,000km","4,000 cc",MT,2WD,Right,"US$3,550"
1994 Hino RANGER FC3WJAK 4Tonne,1994,"228,000km","6,010 cc",MT,2WD,Right,"US$3,598"
1989 Toyota Toyoace Truck BU61 2Tonne,1989,"224,000km","3,000 cc",MT,2WD,Right,"US$3,650"
1991 Toyota Liteace Van S-CM51,1991,"110,548km","2,000 cc",AT,2WD,Right,"US$3,714"
1991 Isuzu Elf Truck NKR58EA Flat body 2Tonne,1991,"313,000km","3,630 cc",MT,2WD,Right,"US$3,808"
2000 Mitsubishi Canter FE63CET 2Tonne,2000,"336,000km","4,200 cc",MT,2WD,Right,"US$4,011"
1986 Isuzu Elf Truck NPR57LR 2Tonne,1986,"131,000km","3,300 cc",MT,2WD,Right,"US$4,061"
1985 Hino RANGER FD165BA Flat body 4Tonne,1985,"346,000km","6,720 cc",MT,2WD,Right,"US$4,087"
1984 Mazda Titan WELAD Dump 2Tonne,1984,"185,000km","3,500 cc",MT,2WD,Right,"US$4,156"
2009 Mazda Titan Dash ABF-SYE4T,2009,"127,382km","2,000 cc",MT,2WD,Right,"US$4,238"
2007 Mitsubishi Fuso Super Great FT50JX 9.9Tonne,2007,"882,000km","12,880 cc",MT,2WD,Right,"US$4,246"
1995 Mitsubishi Canter FE637ET 2Tonne,1995,"463,000km","4,200 cc",MT,2WD,Right,"US$4,252"
1980 Mitsubishi Canter FE211E 2Tonne,1980,"71,000km","3,300 cc",MT,2WD,Right,"US$4,362"
1996 Mitsubishi Canter FE637ET 2Tonne,1996,"225,000km","4,200 cc",MT,2WD,Right,"US$4,377"
1991 Toyota Dyna Truck BU66D Dump 2Tonne,1991,"422,000km","3,700 cc",MT,2WD,Right,"US$4,480"
1999 Mitsubishi Canter FE638G Gila 2Tonne,1999,"481,000km","4,560 cc",MT,2WD,Right,"US$4,494"
1994 Toyota Toyoace Truck BU66D Dump 2Tonne,1994,"211,000km","3,660 cc",MT,2WD,Right,"US$4,546"
