company,job,link,experience,opening_date,closing_date
Commercial Bank of Ceylon PLC,Management Trainee ,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=0&ac=DEFZZZ&jc=0000793530&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')",Please refer the advertisement , Mon Nov 30 2020, Sun Dec 13 2020
LOLC Holdings PLC,Executive ? Non-Motor Claims (Insurance Head Office) (3),"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=1&ac=0000000073&jc=0000793664&ec=0000000090&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')",Minimum of Three (03) years? experience in Non-Motor claims processing is mandatory. , Sun Nov 29 2020, Fri Dec 11 2020
Morgan HR,Study and work in Canada (Online spot-on admission session) (1),"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=2&ac=0000000368&jc=0000793617&ec=0000000483&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')","- Scholarships Available
- Post Study Work options up to 2 years 
- Meet country representative online 
- Please refer attachment for more info and regi .... ", Sat Nov 28 2020, Sat Dec 05 2020
AIA Insurance Lanka Limited ,Intern (Negombo) (1),"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=3&ac=0000000019&jc=0000793572&ec=0000000019&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')",Please refer the advert , Fri Nov 27 2020, Mon Nov 30 2020
AIA Insurance Lanka Limited ,Intern - HR (1),"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=4&ac=0000000019&jc=0000793571&ec=0000000019&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')",Please refer the advert , Fri Nov 27 2020, Mon Nov 30 2020
Central Finance Company PLC,Branch Manager - Kiribathgoda ,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=5&ac=DEFZZZ&jc=0000793517&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')",Please refer the advertisement , Fri Nov 27 2020, Fri Dec 11 2020
Asian Institute of Business & Technology (Pvt) Ltd,Marketing Managers ,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=6&ac=DEFZZZ&jc=0000793446&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')",Please refer the advertisement , Fri Nov 27 2020, Fri Dec 11 2020
Manpower Sri Lanka,Server Administrator (1),"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=0&ac=0000000317&jc=0000793668&ec=0000000416&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')","Salary: Rs. 55,000 - 75,000 | Deg. in CS, IT, Sys-Admin. 4-6 years exp. Windows & Linux (CentOS/Debian), MS SQL, MySQL. SE exp. LAMP & MERN Stacks. | Pleas .... ", Sun Nov 29 2020, Thu Dec 31 2020
People's Merchant Bank PLC,Assistant Manager / Senior Executive - Leasing ,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=7&ac=DEFZZZ&jc=0000793432&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')",Please refer the advertisement , Fri Nov 27 2020, Fri Dec 11 2020
Cooplife Insurance Company Ltd,Branch Managers (Island Wide) ,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=8&ac=DEFZZZ&jc=0000793411&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')",Please refer the advertisement , Fri Nov 27 2020, Fri Dec 11 2020
People's Merchant Bank PLC,Assistant Manager - Risk & MIS ,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=9&ac=DEFZZZ&jc=0000793401&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')",Please refer the advertisement , Fri Nov 27 2020, Fri Dec 11 2020
Konnect Net Pvt Ltd,Customer Support Executive/Custom Support Junior Executive- Colombo 03 (1),"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=1&ac=0000000385&jc=0000786165&ec=0000000505&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')",Please refer the advert , Sun Nov 29 2020, Mon Nov 30 2020
Novelwall Limited,Product Managers ,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=0&ac=DEFZZZ&jc=0000791751&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')",Please refer the advertisement , Mon Nov 30 2020, Thu Dec 03 2020
AIA Insurance Lanka Limited ,Insurance Assistant (Contract Basis) (1),"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=10&ac=0000000019&jc=0000793361&ec=0000000019&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')",Please refer the advert , Fri Nov 27 2020, Mon Nov 30 2020
Sri Lanka Computer Emergency Readiness Team,Information Security Analyst ,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=2&ac=DEFZZZ&jc=0000793605&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')",Please refer the advertisement , Sat Nov 28 2020, Sat Dec 12 2020
Novelwall Limited,Brand Manager ,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=1&ac=DEFZZZ&jc=0000791747&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')",Please refer the advertisement , Mon Nov 30 2020, Thu Dec 03 2020
Micronet Global Services (Pvt) Ltd,Business Analyst ,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=11&ac=0000000419&jc=0000793328&ec=0000000552&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1eJ-hx8oe0aRqniuIEVxmUeRE')",please refer the advert  , Fri Nov 27 2020, Mon Nov 30 2020
